name;description;price
Llana de Acero Inoxidable;Llana de acero inoxidable de alta calidad para aplicar y alisar mortero y cemento.;19.99
Paleta de Albañil;Paleta de albañil resistente y duradera, ideal para trabajos de construcción y reparación.;12.49
Cincel de Punta Ancha;Cincel de punta ancha para romper y picar superficies de concreto, piedra y ladrillo.;8.99
Cortadora de Azulejos;Cortadora de azulejos manual con cuchilla de carburo, perfecta para cortes precisos y limpios.;39.99
Nivel de Burbuja Magnético;Nivel de burbuja magnético de 12 pulgadas, resistente y preciso para alinear superficies.;24.99
Espátula para Juntas;Espátula para juntas de albañilería con mango ergonómico, ideal para aplicar y alisar masilla.;7.99
Martillo de Albañil;Martillo de albañil con mango de fibra de vidrio, diseñado para golpear y clavar con precisión.;16.99
Sierra de Albañil;Sierra de albañil con hoja de acero templado, perfecta para cortar ladrillos y bloques de concreto.;29.99
Paleta de Acero Inoxidable;Paleta de albañil de acero inoxidable, resistente a la corrosión y de larga duración.;14.99
Cuchara de Albañil;Cuchara de albañil de acero forjado, ideal para mezclar y aplicar mortero y yeso.;10.99
Llana de Goma;Llana de goma resistente y flexible para alisar y dar acabado a superficies de concreto.;18.49
Mortero de Albañilería;Mortero premezclado de alta calidad, listo para usar en reparaciones y trabajos de albañilería.;29.99
Escuadra de Albañil;Escuadra de albañil de acero resistente, perfecta para medir y marcar ángulos precisos.;6.99
Pala de Albañil;Pala de albañil con mango de madera y pala de acero templado, ideal para cavar y manipular materiales.;22.99
Brocha de Albañil;Brocha de albañil con cerdas resistentes, ideal para aplicar pintura y sellador en superficies de concreto.;9.49
Herramienta para Juntas de Azulejos;Herramienta especializada para aplicar y alisar juntas de azulejos; facilita el trabajo de acabado.;12.99
Cortadora de Ladrillos;Cortadora de ladrillos manual con mango ergonómico, ideal para cortes limpios y precisos.;34.99
Puntero de Albañil;Puntero de albañil con punta templada, perfecto para romper y picar superficies de concreto y piedra.;7.49
